Name: Motor2
Unit: Hz
date,Frequency
2020-05-09 15:47:29,35.5821
2020-05-09 15:52:29,35.2013
2020-05-09 15:57:29,35.1866
2020-05-09 16:02:29,35.6618
2020-05-09 16:07:32,35.5237
2020-05-09 16:12:29,35.3043
2020-05-09 16:17:29,35.2657
2020-05-09 16:22:29,35.6712
2020-05-09 16:32:29,35.1881
2020-05-09 16:37:29,35.4906
2020-05-09 16:42:29,35.6634
2020-05-09 16:47:29,35.1873
2020-05-09 16:52:29,35.1848
2020-05-09 16:57:29,35.6854
2020-05-09 17:02:29,35.1868
2020-05-09 17:07:25,35.194
2020-05-09 17:12:25,35.4057
2020-05-09 17:17:25,35.1889
2020-05-09 17:22:25,35.1882
2020-05-09 17:32:25,35.1853
2020-05-09 17:37:25,35.211
2020-05-09 17:42:25,35.1883
2020-05-09 17:47:25,35.1878
2020-05-09 17:52:25,35.1877
2020-05-09 17:57:25,35.1877
2020-05-09 18:02:25,35.6582
2020-05-09 18:07:28,35.6902
2020-05-09 18:12:28,35.6929
2020-05-09 18:17:28,35.1949
2020-05-09 18:22:29,35.697
2020-05-09 18:27:29,35.2606
2020-05-09 18:32:29,35.2194
2020-05-09 18:37:29,35.2185
2020-05-09 18:42:29,35.6963
2020-05-09 18:47:29,35.1879
2020-05-09 18:52:29,35.1887
2020-05-09 18:57:29,35.3458
2020-05-09 19:02:29,35.6971
2020-05-09 19:07:29,35.1915
2020-05-09 19:12:29,35.1869
2020-05-09 19:17:29,35.1874
2020-05-09 19:22:29,35.1973
2020-05-09 19:27:29,35.6968
2020-05-09 19:32:29,35.4026
2020-05-09 19:37:29,35.1874
2020-05-09 19:42:29,35.6968
2020-05-09 19:47:29,35.1879
2020-05-09 19:52:29,35.6894
2020-05-09 19:57:29,35.6901
2020-05-09 20:02:29,35.6899
2020-05-09 20:07:29,35.1878
2020-05-09 20:12:29,35.682
2020-05-09 20:22:29,35.1869
2020-05-09 20:27:29,35.697
2020-05-09 20:32:29,35.2328
2020-05-09 20:37:29,35.6735
2020-05-09 20:42:29,35.1903
2020-05-09 20:47:29,35.1878
2020-05-09 20:52:29,35.6341
2020-05-09 21:02:30,35.6969
2020-05-09 21:12:29,35.1882
2020-05-09 21:17:29,35.2151
2020-05-09 21:22:29,35.6826
2020-05-09 21:27:29,35.6755
2020-05-09 21:32:29,35.6773
2020-05-09 21:37:29,35.2161
2020-05-09 21:42:29,35.1866
2020-05-09 21:47:29,35.1888
2020-05-09 21:52:29,35.6858
2020-05-09 21:57:29,35.2029
2020-05-09 22:02:29,35.3702
2020-05-09 22:07:29,35.2474
2020-05-09 22:12:29,35.6403
2020-05-09 22:17:29,35.6255
2020-05-09 22:22:29,35.1883
2020-05-09 22:27:29,35.2363
2020-05-09 22:32:29,35.1897
2020-05-09 22:37:29,35.1958
2020-05-09 22:42:29,35.2116
2020-05-09 22:47:29,35.1879
2020-05-09 22:52:29,35.3455
2020-05-09 22:57:29,35.1872
2020-05-09 23:02:30,35.187
2020-05-09 23:07:30,35.2587
2020-05-09 23:12:30,35.2073
2020-05-09 23:17:30,35.4304
2020-05-09 23:22:30,35.1866
2020-05-09 23:27:30,35.1869
2020-05-09 23:32:30,35.1872
2020-05-09 23:37:30,35.3448
2020-05-09 23:42:30,35.1881
2020-05-09 23:47:30,35.1873
2020-05-09 23:52:30,35.1881
2020-05-09 23:57:30,35.3974
2020-05-10 00:02:30,35.2509
2020-05-10 00:07:28,35.2456
2020-05-10 00:12:28,35.4859
2020-05-10 00:17:28,35.5862
2020-05-10 00:22:28,35.6962
2020-05-10 00:32:28,35.1901
2020-05-10 00:37:29,35.6531
2020-05-10 00:42:29,35.2216
2020-05-10 00:47:29,35.1713
2020-05-10 00:52:29,35.2278
2020-05-10 00:57:29,35.1872
2020-05-10 01:02:29,35.313
2020-05-10 01:07:30,35.6905
2020-05-10 01:12:30,35.2096
